WASTE_ID,SOURCE,ORG_ID,WWTP_NAME,COUNTRY,CNTRY_ISO,LATITUDE,LONGITUDE,QUAL_LOC,LAT_OUT,LON_OUT,STATUS,POP_SERVED,QUAL_POP,WASTE_DIS,QUAL_WASTE,LEVEL,QUAL_LEVEL,DF,HYRIV_ID,RIVER_DIS,COAST_10KM,COAST_50KM,DESIGN_CAP,QUAL_CAP
56821,12,3971,,Ukraine,UKR,49.758,31.506,1,49.777,31.469,Not Reported,3976,4,330.866,4,Secondary,2,395824.146,20379175,1515.791,0,1,,3
56823,12,3973,,Ukraine,UKR,49.775,27.252,1,49.765,27.352,Not Reported,28157,4,2343.062,4,Secondary,2,300.977,20379167,8.135,0,0,,3
56824,12,3974,,Ukraine,UKR,49.825,23.918,1,49.865,23.823,Not Reported,142774,4,11881.007,4,Secondary,2,8.985,20376919,1.098,0,0,,3
56825,12,3975,,Ukraine,UKR,49.83,35.634,1,49.815,35.723,Not Reported,12701,4,1056.9,4,Secondary,2,80.214,20378175,0.969,0,0,,3
56826,12,3976,,Ukraine,UKR,49.846,23.874,1,49.852,23.79,Not Reported,30378,4,2527.919,4,Secondary,2,80.499,20377212,2.326,0,0,,3
56827,12,3977,,Ukraine,UKR,49.857,23.921,1,49.865,23.819,Not Reported,177199,4,14745.749,4,Secondary,2,7.445,20376919,1.1,0,0,,3
56828,12,3978,,Ukraine,UKR,49.867,24.085,1,49.869,24.185,Not Reported,175207,4,14580,4,Secondary,2,5,20376698,0.675,0,0,,3
56829,12,3979,,Ukraine,UKR,49.881,36.45,1,49.815,36.444,Not Reported,124716,4,10378.331,4,Secondary,2,7.41,20378176,0.77,0,0,,3
56830,12,3980,,Ukraine,UKR,49.883,36.756,1,49.815,36.69,Not Reported,43672,4,3634.167,4,Secondary,2,834.172,20378476,35.045,0,0,,3
56831,12,3981,,Ukraine,UKR,49.9,36.277,1,49.81,36.315,Not Reported,265408,4,22086.111,4,Secondary,2,42.748,20378259,10.672,0,0,,3
56833,12,3983,,Ukraine,UKR,49.948,36.228,1,49.935,36.202,Not Reported,712076,4,59255.815,4,Secondary,2,15.938,20376155,10.245,0,0,,3
56834,12,3984,,Ukraine,UKR,49.975,24.582,1,50.035,24.527,Not Reported,22419,4,1865.587,4,Secondary,2,540.865,20373009,11.657,0,0,,3
56835,12,3985,,Ukraine,UKR,49.977,36.099,1,49.948,36.194,Not Reported,106265,4,8842.93,4,Secondary,2,36.897,20374931,3.674,0,0,,3
56836,12,3986,,Ukraine,UKR,49.977,36.062,1,49.96,36.16,Not Reported,27341,4,2275.208,4,Secondary,2,139.227,20374931,3.64,0,0,,3
